Категория;Наименование товара;Стоимость, руб
Арбуз;Арбуз Алый Сахар/Сем Алт/цп 1 гр.;41.4
Арбуз;Арбуз Астраханский/Сем Алт/цп 1 гр.;35.5
Арбуз;Арбуз АУ Продюсер ПВП/Сем Алт/цп 1 гр.;37.8
Арбуз;Арбуз Большой Сахарный/Сем Алт/цп 1 гр.;42.4
Арбуз;Арбуз Желтый Император/Сем Алт/цп 0,5 гр. АЗИАТСКИЙ ОГОРОД;73.3
Арбуз;Арбуз Желтый Император/Сем Алт/цп 1 гр. АЗИАТСКИЙ ОГОРОД;62.8
Арбуз;Арбуз Зелибоба/Сем Алт/цп 0,5 гр.;62.8
Арбуз;Арбуз Кримсон Свит/Сем Алт/цп 0,5 гр.;32.3
Арбуз;Арбуз Малиновый Сладкий/Сем Алт/цп 1 гр.;39.1
Арбуз;Арбуз Мелитопольский/Сем Алт/цп 0,5 гр.;25.0
Арбуз;Арбуз Ница/Сем Алт/цп 0,5 гр.;32.3
Арбуз;Арбуз Огонек/Сем Алт/цп 1 гр.;37.6
Арбуз;Арбуз Пекинский Нектар/Сем Алт/цп 0,5 гр. АЗИАТСКИЙ ОГОРОД;46.0
Арбуз;Арбуз Пекинский Нектар/Сем Алт/цп 1 гр. АЗИАТСКИЙ ОГОРОД;31.3
Арбуз;Арбуз Ранний Кубани/Сем Алт/цп 1 гр.;39.1
Арбуз;Арбуз Сахарная Вата/Сем Алт/цп 1 гр.;55.2
Арбуз;Арбуз Сахарный Малыш (Шуга Бейби)/Сем Алт/цп 1 гр.;39.7
Арбуз;Арбуз Сибирская Роза/Сем Алт/цп 1 гр.;35.5
Арбуз;Арбуз Сибирские Огни/Сем Алт/цп 1 гр.;34.4
Арбуз;Арбуз Сибирский Мед/Сем Алт/цп 1 гр.;43.7
Арбуз;Арбуз Ультраранний/Сем Алт/цп 1 гр.;50.2
Арбуз;Арбуз Фотон/Сем Алт/цп 1 гр.;33.4
Арбуз;Арбуз Холодок/Сем Алт/цп 1 гр.;39.7
Арбуз;Арбуз Чарльстон Грей/Сем Алт/цп 0,5 гр.;41.4
Арбуз;Арбуз Чарльстон Грей/Сем Алт/цп 1 гр.;48.1
Арбуз;Арбуз Медовый Император/Сем Алт/цп 1 гр. АЗИАТСКИЙ ОГОРОД;31.3
Арбуз;Арбуз Рахат-Лукум/Сем Алт/цп 1 гр.;28.7
Арбуз;Арбуз Шанхайский Медовый/Сем Алт/цп 1 гр. АЗИАТСКИЙ ОГОРОД;31.3
Баклажан;Баклажан Алексеевский/Сем Алт/цп 0,1 гр.;69.1
Баклажан;Баклажан Аленка/Сем Алт/цп 10 шт.;51.7
Баклажан;Баклажан Алмаз/Сем Алт/цп 0,2 гр.;36.8
Баклажан;Баклажан Брюнет/Сем Алт/цп 0,2 гр.;37.6
Баклажан;Баклажан Бычье Сердце/Сем Алт/цп 0,2 гр.;39.7
Баклажан;Баклажан Вера/Сем Алт/цп 0,3 гр.;35.5
Баклажан;Баклажан Икра Заморская/Сем Алт/цп 0,2 гр.;37.6
Баклажан;Баклажан Лебединый/Сем Алт/цп 0,1 гр.;62.8
Баклажан;Баклажан Лебединый/Сем Алт/цп 0,2 гр.;36.5
Баклажан;Баклажан Матроскин/Сем Алт/цп 0,2 гр.;41.4
Баклажан;Баклажан Северный Блюз F1/Сем Алт/цп 10 шт.;73.3
Баклажан;Баклажан Улыбка Негра/Сем Алт/цп 0,1 гр.;73.3
Баклажан;Баклажан Улыбка Негра/Сем Алт/цп 0,2 гр.;81.3
Баклажан;Баклажан Универсал-6/Сем Алт/цп 0,3 гр.;31.3
Баклажан;Баклажан Фиолетовый Длинный/Сем Алт/цп 0,2 гр.;37.6
Баклажан;Баклажан Фиолетовый Длинный/Сем Алт/цп 0,3 гр.;39.1
Баклажан;Баклажан Фрегат/Сем Алт/цп 0,2 гр.;34.4
Баклажан;Баклажан Черный Красавец/Сем Алт/цп 0,3 гр.;39.7
Баклажан;Баклажан Черный Опал/Сем Алт/цп 0,2 гр.;39.1
Баклажан;Баклажан Шаровидный/Сем Алт/цп 0,2 гр.;39.7
Баклажан;Баклажан Шаровидный/Сем Алт/цп 0,3 гр.;37.6
Баклажан;Баклажан Эпик F1/Сем Алт/цп 10 шт. ГОЛЛАНДСКИЕ СЕМЕНА;136.3
Баклажан;Баклажан Эфиоп/Сем Алт/цп 0,2 гр.;39.1
Баклажан;Баклажан Алексеевский/Сем Алт/цп 0,2 гр.;74.3
Баклажан;Баклажан Алмаз/Сем Алт/цп 0,3 гр.;35.5
Баклажан;Баклажан Чисанчи/Сем Алт/цп 0,2 гр. АЗИАТСКИЙ ОГОРОД;41.4
Брюква;Брюква Баварская/Сем Алт/цп 1 гр.;37.6
Горох;Бобы Белорусские/Сем Алт/цп 5 гр.;41.8
Горох;Бобы Русские Черные/Сем Алт/цп 5 гр.;39.8
Горох;Горох Адагумский/Сем Алт/цп 10 гр.;37.6
Горох;Горох Алтайский Изумруд/Сем Алт/цп 10 гр.;37.6
Горох;Горох Альфа/Сем Алт/цп 10 гр.;35.5
Горох;Горох Амброзия/Сем Алт/цп 10 гр.;37.6
Горох;Горох Беркут/Сем Алт/цп 10 гр.;37.6
Горох;Горох Воронежский зеленый/Сем Алт/цп 10 гр.;37.6
Горох;Горох Глориоза/Сем Алт/цп 10 гр.;37.6
Горох;Горох Жегалова 112 Сахарный/Сем Алт/цп 10 гр.;33.4
Горох;Горох Кельведонское Чудо/Сем Алт/цп 10 гр.;39.7
Горох;Горох Комнатный/Сем Алт/цп 10 гр. УРОЖАЙ НА ОКНЕ;52.3
Горох;Горох Метеор/Сем Алт/цп 10 гр.;39.7
Горох;Горох Норд-Вест/Сем Алт/цп 10 гр.;39.7
Горох;Горох Орегон Шуга (Сахарный)/Сем Алт/цп 10 гр.;41.8
Горох;Горох Первенец Сахарный/Сем Алт/цп 10 гр.;39.7
Горох;Горох Сахарная Вкусняшка/Сем Алт/цп 10 гр.;41.4
Горох;Горох Сахарная Конфета/Сем Алт/цп 10 гр.;41.4
Горох;Горох Сахарный Стручок/Сем Алт/цп 10 гр.;41.4
Горох;Горох Сибирский Гигант/Сем Алт/цп 10 гр. СИБИРСКИЕ ГИГАНТЫ;61.7
Горох;Горох Сладкая Парочка/Сем Алт/цп 10 гр.;41.4
Горох;Горох Сладкий Боб/Сем Алт/цп 10 гр.;41.4
Горох;Горох Спринтер/Сем Алт/цп 10 гр.;39.7
Горох;Горох Фуга/Сем Алт/цп 10 гр.;37.6
Горох;Горох Хавский Жемчуг/Сем Алт/цп 10 гр.;35.5
Горох;Горох Шесть недель/Сем Алт/цп 10 гр.;39.1
Горох;Чечевица Зеленая/Сем Алт/цп 5 гр.;41.8
Горох;Чечевица Коричневая/Сем Алт/цп 5 гр.;41.8
Горох;Горох Безлисточковый/Сем Алт/цп 10 гр.;31.3
Дайкон;Дайкон Дубинушка/Сем Алт/цп 1 гр.;35.5
Дайкон;Дайкон Дядя Степа/Сем Алт/цп 1 гр.;35.5
