Категория;Наименование товара;Стоимость, руб
Арбуз;Арбуз Алый Сахар/Сем Алт/цп 1 гр.;36
Арбуз;Арбуз Астраханский/Сем Алт/цп 1 гр.;30
Арбуз;Арбуз АУ Продюсер ПВП/Сем Алт/цп 1 гр.;36
Арбуз;Арбуз Большой Сахарный/Сем Алт/цп 1 гр.;38
Арбуз;Арбуз Желтый Император/Сем Алт/цп 0,5 гр. АЗИАТСКИЙ ОГОРОД!;65
Арбуз;Арбуз Зелибоба/Сем Алт/цп 0,5 гр.;59
Арбуз;Арбуз Кримсон Свит/Сем Алт/цп 0,5 гр.;32
Арбуз;Арбуз Малиновый Сладкий/Сем Алт/цп 1 гр.;37
Арбуз;Арбуз Мелитопольский/Сем Алт/цп 0,5 гр.;26
Арбуз;Арбуз Ница/Сем Алт/цп 0,5 гр.;28
Арбуз;Арбуз Огонек/Сем Алт/цп 1 гр.;36
Арбуз;Арбуз Пекинский Нектар/Сем Алт/цп 0,5 гр.  АЗИАТСКИЙ ОГОРОД!;36
Арбуз;Арбуз Пекинский Нектар/Сем Алт/цп 1 гр. КИТАЙСКАЯ СЕРИЯ!;36
Арбуз;Арбуз Ранний Кубани/Сем Алт/цп 1 гр.;37
Арбуз;Арбуз Сахарная Вата/Сем Алт/цп 1 гр.;48
Арбуз;Арбуз Сахарный Малыш (Шуга Бейби)/Сем Алт/цп 1 гр.;38
Арбуз;Арбуз Сибирская Роза/Сем Алт/цп 1 гр.;34
Арбуз;Арбуз Сибирские Огни/Сем Алт/цп 1 гр. Сибирская Селекция!;38
Арбуз;Арбуз Сибирский Мед/Сем Алт/цп 1 гр.;38
Арбуз;Арбуз Ультраранний/Сем Алт/цп 1 гр.;42
Арбуз;Арбуз Фотон/Сем Алт/цп 1 гр.;30
Арбуз;Арбуз Холодок/Сем Алт/цп 1 гр.;38
Арбуз;Арбуз Чарльстон Грей/Сем Алт/цп 0,5 гр.;39
Арбуз;Арбуз Чарльстон Грей/Сем Алт/цп 1 гр.;45
Баклажан;Баклажан Алексеевский/Сем Алт/цп 0,1 гр.;58
Баклажан;Баклажан Аленка (Зеленый)/Сем Алт/цп 10 шт.;64
Баклажан;Баклажан Алмаз/Сем Алт/цп 0,2 гр.;35
Баклажан;Баклажан Брюнет/Сем Алт/цп 0,2 гр.;36
Баклажан;Баклажан Бычье Сердце/Сем Алт/цп 0,2 гр.;38
Баклажан;Баклажан Бычье Сердце/Сем Алт/цп 0,3 гр.;36
Баклажан;Баклажан Вера/Сем Алт/цп 0,3 гр. Сибирская Селекция!;34
Баклажан;Баклажан Икра Заморская/Сем Алт/цп 0,2 гр.;35
Баклажан;Баклажан Лебединый/Сем Алт/цп 0,1 гр.;44
Баклажан;Баклажан Лебединый/Сем Алт/цп 0,2 гр.;45
Баклажан;Баклажан Матроскин/Сем Алт/цп 0,2 гр.;36
Баклажан;Баклажан Северный Блюз F1/Сем Алт/цп 10 шт.;55
Баклажан;Баклажан Улыбка Негра/Сем Алт/цп 0,1 гр.;58
